id,name,url,contact,format,sets
1,unibo.rivista-statistica,https://rivista-statistica.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
2,unibo.scienzaepolitica,https://scienzaepolitica.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
3,unibo.rpd,https://rpd.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
4,unibo.psicoart,https://psicoart.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
5,unibo.musicadocta,https://musicadocta.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
6,unibo.jfr,https://jfr.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
7,unibo.ipotesidipreistoria,https://ipotesidipreistoria.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
8,unibo.intreccidarte,https://intreccidarte.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
9,unibo.in_bo,https://in_bo.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
10,unibo.governarelapaura,https://governarelapaura.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
11,unibo.disegnarecon,https://disegnarecon.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
12,unibo.danzaericerca,https://danzaericerca.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
13,unibo.conservationscience,https://conservation-science.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
14,unibo.confluenze,https://confluenze.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
15,unibo.mathematicalanalysis,https://mathematicalanalysis.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
16,unibo.antropologiaeteatro,https://antropologiaeteatro.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
17,unibo.almatourism,https://almatourism.unibo.it/oai,marialaura.vignocchi@unibo.it,oai_dc,all
18,unimi.amonline,http://riviste.unimi.it/index.php/AMonline/oai,paola.galimberti@unimi.it,oai_dc,all
19,unimi.aristonothos,http://riviste.unimi.it/index.php/aristonothos/oai,paola.galimberti@unimi.it,oai_dc,all
20,unimi.demusica,http://riviste.unimi.it/index.php/demusica/oai,paola.galimberti@unimi.it,oai_dc,all
21,unimi.Dike,http://riviste.unimi.it/index.php/Dike/oai,paola.galimberti@unimi.it,oai_dc,all
22,unimi.disegni,http://riviste.unimi.it/index.php/disegni/oai,paola.galimberti@unimi.it,oai_dc,all
23,unimi.DoctorVirtualis,http://riviste.unimi.it/index.php/DoctorVirtualis/oai,paola.galimberti@unimi.it,oai_dc,all
24,unimi.enthymema,http://riviste.unimi.it/index.php/enthymema/oai,paola.galimberti@unimi.it,oai_dc,all
25,unimi.food-in,http://riviste.unimi.it/index.php/food-in/oai,paola.galimberti@unimi.it,oai_dc,all
26,unimi.inkoj,http://riviste.unimi.it/index.php/inkoj/oai,paola.galimberti@unimi.it,oai_dc,all
27,unimi.itinera,http://riviste.unimi.it/index.php/itinera/oai,paola.galimberti@unimi.it,oai_dc,all
28,unimi.promoitals,http://riviste.unimi.it/index.php/promoitals/oai,paola.galimberti@unimi.it,oai_dc,all
29,unimi.lanx,http://riviste.unimi.it/index.php/lanx/oai,paola.galimberti@unimi.it,oai_dc,all
30,unimi.Lebenswelt,http://riviste.unimi.it/index.php/Lebenswelt/oai,paola.galimberti@unimi.it,oai_dc,all
31,unimi.noema,http://riviste.unimi.it/index.php/noema/oai,paola.galimberti@unimi.it,oai_dc,all
32,unimi.rifanalitica,http://riviste.unimi.it/index.php/rifanalitica/oai,paola.galimberti@unimi.it,oai_dc,all
33,unimi.roars,http://riviste.unimi.it/index.php/roars/oai,paola.galimberti@unimi.it,oai_dc,all
34,unimi.statoechiese,http://riviste.unimi.it/index.php/statoechiese/oai,paola.galimberti@unimi.it,oai_dc,all
